Rank,Country,Region,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Retracted_Papers,Retraction_Rate_%,Retractions_per_10k
62,Jordan,Middle East,114702,108576,1751709,258940,15.27,309,235,0.20487872922878414,20.487872922878413
63,Lithuania,Eastern Europe,93538,88382,1584036,201022,16.93,342,26,0.02779618978383117,2.779618978383117
64,Ethiopia,Africa,93482,88475,1609747,372871,17.22,289,536,0.5733724139406516,57.33724139406517
65,Philippines,Asiatic Region,92582,83638,1577053,162091,17.03,379,132,0.1425763107299475,14.257631072994752
66,Peru,Latin America,90899,83248,1346854,168120,14.82,363,59,0.06490720469972167,6.490720469972167
67,Kazakhstan,Asiatic Region,76497,73331,664825,135617,8.69,213,202,0.26406264297946325,26.406264297946322
68,Kenya,Africa,75214,65971,2005387,241553,26.66,399,43,0.057170207674103225,5.717020767410323
69,Estonia,Eastern Europe,73039,66804,2091468,215729,28.63,446,13,0.01779871027807062,1.779871027807062
70,Qatar,Middle East,71954,64548,1798479,136462,24.99,381,65,0.09033549211996554,9.033549211996554
71,Lebanon,Middle East,71152,64145,1609511,116291,22.62,353,113,0.1588149314144367,15.88149314144367
72,Ecuador,Latin America,70139,66093,915166,125355,13.05,265,45,0.06415831420465076,6.415831420465076
73,Ghana,Africa,65428,58735,1192422,175946,18.22,277,100,0.15283976279268813,15.283976279268813
74,Cyprus,Western Europe,62241,54529,1428147,121253,22.95,354,30,0.0481997397214055,4.81997397214055
75,Cuba,Latin America,60039,56152,683886,99498,11.39,248,9,0.014990256333383302,1.4990256333383303
76,Belarus,Eastern Europe,59137,57633,771890,113978,13.05,253,44,0.07440350372863014,7.440350372863013
77,Venezuela,Latin America,51959,48827,948954,77323,18.26,306,16,0.03079351026771108,3.079351026771108
78,Oman,Middle East,51657,45759,890563,72195,17.24,269,106,0.2051996825212459,20.519968252124592
80,Kuwait,Middle East,50043,46754,888055,70406,17.75,258,70,0.13987970345502868,13.987970345502866
81,Sri Lanka,Asiatic Region,49740,44566,958993,85736,19.28,298,30,0.060313630880579006,6.0313630880579
82,Uzbekistan,Asiatic Region,49193,47389,365066,118039,7.42,158,290,0.5895147683613522,58.95147683613522
83,Latvia,Eastern Europe,48290,45596,755909,83581,15.65,263,8,0.016566576931041625,1.6566576931041623
84,Luxembourg,Western Europe,42378,37203,1080020,70407,25.49,324,9,0.021237434517910235,2.1237434517910234
85,Uganda,Africa,41903,37388,960475,134020,22.92,276,14,0.03341049566856788,3.341049566856788
86,Nepal,Asiatic Region,40967,36309,729915,85985,17.82,247,79,0.1928381380135231,19.28381380135231
87,Tanzania,Africa,40098,36686,898275,119729,22.4,262,19,0.04738390942191631,4.73839094219163
88,Iceland,Western Europe,38233,33719,1528652,112782,39.98,440,11,0.02877095702665237,2.877095702665237
